epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.774,1.25267,2.19482,1.32983,0.57624,0.67414,0.5935,0.34255,1.42424,2.0122,1.71191,0.000552398,0.000552398,0.000552398
2,283.995,1.32988,1.39239,1.38872,0.77881,0.76405,0.78897,0.48489,1.29312,1.3888,1.51953,0.00108613,0.00108613,0.00108613
3,398.563,1.31357,1.24939,1.36493,0.68279,0.6667,0.68971,0.40111,1.39391,1.72492,1.62439,0.00159785,0.00159785,0.00159785
4,511.1,1.29608,1.19087,1.36052,0.77284,0.75373,0.80717,0.47901,1.30761,1.24329,1.46173,0.00156798,0.00156798,0.00156798
5,622.404,1.25535,1.10517,1.33524,0.85291,0.78959,0.85208,0.55479,1.17858,0.94474,1.31027,0.00153497,0.00153497,0.00153497
6,732.406,1.22411,1.03356,1.31089,0.87084,0.76347,0.84361,0.55885,1.20904,0.94478,1.341,0.00150197,0.00150197,0.00150197
7,844.227,1.18653,0.97247,1.29097,0.89692,0.85269,0.90545,0.61111,1.10579,0.77998,1.28822,0.00146896,0.00146896,0.00146896
8,954.647,1.17605,0.94859,1.27801,0.90831,0.84045,0.91147,0.60672,1.14548,0.73975,1.32597,0.00143595,0.00143595,0.00143595
9,1067.62,1.15873,0.91248,1.26651,0.88687,0.85287,0.91289,0.61363,1.11128,0.74199,1.29092,0.00140295,0.00140295,0.00140295
10,1179.24,1.12491,0.88004,1.25644,0.91245,0.85524,0.91632,0.63284,1.06886,0.71851,1.26276,0.00136994,0.00136994,0.00136994
11,1290.16,1.11849,0.85631,1.24357,0.8897,0.86368,0.90476,0.60119,1.08828,0.79399,1.27614,0.00133693,0.00133693,0.00133693
12,1401.17,1.10965,0.83488,1.23647,0.9337,0.87483,0.93998,0.6546,1.03869,0.64817,1.23415,0.00130393,0.00130393,0.00130393
13,1511.89,1.08451,0.79807,1.22219,0.87711,0.81727,0.88132,0.58986,1.1209,0.81728,1.29128,0.00127092,0.00127092,0.00127092
14,1623.56,1.07775,0.79032,1.21421,0.90926,0.87612,0.92924,0.66012,1.01811,0.65281,1.19927,0.00123791,0.00123791,0.00123791
15,1735.48,1.06668,0.77568,1.21053,0.92967,0.90261,0.94695,0.67494,0.98968,0.61476,1.19846,0.00120491,0.00120491,0.00120491
16,1848.06,1.05525,0.74925,1.20589,0.92886,0.89217,0.94333,0.6827,0.96978,0.61387,1.17669,0.0011719,0.0011719,0.0011719
17,1959.4,1.05127,0.75041,1.20011,0.93533,0.86685,0.93257,0.65734,1.01957,0.64054,1.20414,0.00113889,0.00113889,0.00113889
18,2073.04,1.03285,0.73264,1.19416,0.93456,0.88971,0.94248,0.68162,0.95578,0.56614,1.17857,0.00110589,0.00110589,0.00110589
19,2184.74,1.03613,0.71726,1.18915,0.94707,0.89124,0.94532,0.68421,0.97918,0.57461,1.18134,0.00107288,0.00107288,0.00107288
20,2297.69,1.02452,0.7107,1.18645,0.94308,0.92715,0.9597,0.69909,0.96717,0.54188,1.16493,0.00103987,0.00103987,0.00103987
21,2410.54,1.0113,0.69366,1.18064,0.95487,0.91087,0.95588,0.68959,0.96628,0.55139,1.16094,0.00100687,0.00100687,0.00100687
22,2522.2,1.00581,0.69392,1.17323,0.95282,0.91402,0.95598,0.6969,0.94713,0.52395,1.1645,0.000973861,0.000973861,0.000973861
23,2633.97,1.00921,0.68228,1.1726,0.94079,0.92832,0.95832,0.70414,0.9306,0.5141,1.1471,0.000940855,0.000940855,0.000940855
24,2745.2,0.99214,0.67145,1.16918,0.9422,0.92163,0.9586,0.71447,0.90978,0.51245,1.12959,0.000907848,0.000907848,0.000907848
25,2858.98,0.98578,0.66391,1.15669,0.9597,0.92493,0.96497,0.7186,0.9051,0.50083,1.12682,0.000874842,0.000874842,0.000874842
26,2973.52,0.98032,0.65067,1.15312,0.95658,0.92786,0.96551,0.71437,0.90223,0.49229,1.12987,0.000841835,0.000841835,0.000841835
27,3091.25,0.97182,0.64022,1.15702,0.94446,0.92451,0.95969,0.71456,0.89994,0.50264,1.12693,0.000808828,0.000808828,0.000808828
28,3203.85,0.95904,0.63991,1.14725,0.95891,0.91498,0.95828,0.71258,0.91451,0.49839,1.13498,0.000775822,0.000775822,0.000775822
29,3315.23,0.96402,0.63567,1.1479,0.96103,0.92928,0.96349,0.713,0.92829,0.51043,1.12778,0.000742815,0.000742815,0.000742815
30,3427.27,0.95573,0.6323,1.14379,0.96325,0.93092,0.96798,0.72897,0.88537,0.48214,1.11154,0.000709809,0.000709809,0.000709809
31,3539.11,0.94652,0.61244,1.14196,0.96208,0.94018,0.97056,0.7312,0.89107,0.45648,1.10801,0.000676802,0.000676802,0.000676802
32,3650.52,0.93356,0.59884,1.13105,0.96684,0.92463,0.96783,0.72756,0.8885,0.47074,1.1064,0.000643795,0.000643795,0.000643795
33,3762.06,0.94123,0.60485,1.13315,0.96595,0.93079,0.96762,0.72824,0.88052,0.46085,1.1088,0.000610789,0.000610789,0.000610789
34,3871.94,0.92482,0.59395,1.12436,0.94917,0.93632,0.9647,0.72843,0.87048,0.4583,1.10607,0.000577782,0.000577782,0.000577782
35,3983.25,0.9293,0.58966,1.12145,0.97153,0.93612,0.97366,0.74246,0.85137,0.43236,1.09224,0.000544776,0.000544776,0.000544776
36,4094.12,0.91919,0.57871,1.11998,0.96803,0.94599,0.97011,0.73131,0.88457,0.44143,1.10757,0.000511769,0.000511769,0.000511769
37,4204.8,0.90897,0.57679,1.11451,0.96148,0.95273,0.97085,0.73884,0.87581,0.43513,1.09179,0.000478762,0.000478762,0.000478762
38,4317.6,0.90336,0.56835,1.11431,0.96573,0.94968,0.97449,0.73898,0.86091,0.43127,1.09647,0.000445756,0.000445756,0.000445756
39,4431.37,0.90394,0.56657,1.11165,0.96494,0.95034,0.97387,0.74537,0.86192,0.42503,1.08524,0.000412749,0.000412749,0.000412749
40,4543.42,0.89249,0.55735,1.10254,0.96951,0.94477,0.97262,0.74497,0.85638,0.42112,1.08269,0.000379743,0.000379743,0.000379743
41,4650.2,0.80365,0.41047,1.05344,0.97077,0.94193,0.9732,0.75171,0.83659,0.41299,1.07628,0.000346736,0.000346736,0.000346736
42,4752.39,0.78746,0.39758,1.04416,0.97184,0.94174,0.97287,0.74662,0.84897,0.42236,1.0788,0.000313729,0.000313729,0.000313729
43,4852.83,0.77904,0.38841,1.03667,0.95974,0.95135,0.97092,0.74565,0.84625,0.42284,1.07497,0.000280723,0.000280723,0.000280723
44,4953.49,0.77253,0.38594,1.03371,0.97016,0.94559,0.97119,0.75107,0.83931,0.41153,1.07447,0.000247716,0.000247716,0.000247716
45,5054.12,0.75693,0.37139,1.02944,0.9727,0.93775,0.97125,0.74991,0.83447,0.40968,1.06957,0.00021471,0.00021471,0.00021471
46,5155.26,0.74756,0.36598,1.02193,0.9695,0.94587,0.97235,0.75447,0.83022,0.40402,1.07132,0.000181703,0.000181703,0.000181703
47,5257.11,0.74413,0.35945,1.02112,0.96846,0.95409,0.97497,0.75535,0.82874,0.3944,1.06711,0.000148696,0.000148696,0.000148696
48,5358.11,0.74151,0.35686,1.01847,0.97014,0.95118,0.97193,0.75453,0.82907,0.39313,1.06699,0.00011569,0.00011569,0.00011569
49,5458.67,0.73353,0.35307,1.01241,0.96762,0.95181,0.97349,0.75301,0.83522,0.39333,1.0674,8.26832e-05,8.26832e-05,8.26832e-05
50,5558.31,0.72446,0.34894,1.00337,0.96943,0.95354,0.97472,0.75791,0.82141,0.3895,1.06351,4.96766e-05,4.96766e-05,4.96766e-05
